ocreval Word Accuracy Report Version 7.0
----------------------------------------
     904   Words
      92   Misrecognized
   89.82%  Accuracy

Stopwords
   Count   Missed   %Right   Length
       0        0   ------    Total

Non-stopwords
   Count   Missed   %Right   Length
       3        0   100.00   চ'লে
       1        0   100.00   চক্রাকারে
       1        1     0.00   চন্দ্রদ্বীপ
       1        0   100.00   চল
       1        0   100.00   চলল
       1        0   100.00   চলুন
       1        0   100.00   চারিদিক
       1        0   100.00   চিরে
       1        0   100.00   চুপ
       3        0   100.00   চেয়ে
       1        0   100.00   চেয়েও
       2        0   100.00   চোখ
       1        0   100.00   চোখের
       1        1     0.00   ছ'দিন
       2        1    50.00   ছইএর
       3        0   100.00   ছিল
       3        0   100.00   ছিলেন
       1        0   100.00   ছেয়ে
       1        0   100.00   জগৎ
       1        0   100.00   জন্যে
       1        0   100.00   জমিদারকেই
       3        0   100.00   জল
       1        0   100.00   জলদস্যুদের
       1        0   100.00   জলাশয়ে
       1        0   100.00   জানে
       1        0   100.00   জানো
       3        0   100.00   জিজ্ঞাসা
       1        0   100.00   জীবনে
       1        0   100.00   জোরে
       1        0   100.00   জ্বলে
       1        0   100.00   জ্যোৎস্নাজাল
       1        0   100.00   জ্যোৎস্নার
       1        0   100.00   ঝরঝর
       1        0   100.00   ঝরণায়
       1        0   100.00   ঝরে
       1        0   100.00   টৌড়
       1        0   100.00   ঠাকরুণ
       1        0   100.00   ঠিকও
       1        0   100.00   ডাকলেন
       1        1     0.00   ডিপার্টমেণ্টে
       1        1     0.00   ঢিবিটা
       1        1     0.00   ঢিবিটায়
       1        0   100.00   ঢুকে
       1        0   100.00   ঢেউয়ে
       3        0   100.00   তখন
       1        0   100.00   তখনকার
       1        0   100.00   তথাগতো
       1        0   100.00   তবু
       1        0   100.00   তবুও
       1        0   100.00   তরল
       3        0   100.00   তরুণ
       1        0   100.00   তলায়
       1        0   100.00   তলে
       2        1    50.00   তা
       6        0   100.00   তাঁর
       2        1    50.00   তাঁরই
       2        0   100.00   তাড়াতাড়ি
       2        0   100.00   তাদের
       1        0   100.00   তান্ত্রিক
       1        1     0.00   তাম্বুলে
       8        0   100.00   তার
       1        0   100.00   তারই
       5        0   100.00   তারপর
       1        0   100.00   তারা
       7        0   100.00   তিনি
       1        0   100.00   তিনিও
